City,State,Crime Count
Chambers,Texas,76
Champaign,Illinois,86
Champaign,Ohio,16
Chariton,Missouri,2
Charles,Maryland,176
Charles City,Virginia,13
Charles Mix,South Dakota,10
Charleston,South Carolina,1122
Charlevoix,Michigan,9
Charlotte,Florida,86
Charlotte,Virginia,30
Charlottesville,Virginia,112
Charlton,Georgia,6
Chase,Kansas,1
Chatham,Georgia,1170
Chatham,North Carolina,113
Chattahoochee,Georgia,7
Chattooga,Georgia,28
Chautauqua,Kansas,4
Chautauqua,New York,68
Chaves,New Mexico,232
Cheatham,Tennessee,29
Cheboygan,Michigan,12
Chelan,Washington,91
Chemung,New York,81
Chenango,New York,30
Cherokee,Alabama,12
Cherokee,Georgia,81
Cherokee,Iowa,1
Cherokee,Kansas,23
Cherokee,North Carolina,47
Cherokee,Oklahoma,73
Cherokee,South Carolina,159
Cherokee,Texas,104
Cherry,Nebraska,4
Chesapeake,Virginia,365
Cheshire,New Hampshire,32
Chester,Pennsylvania,294
Chester,South Carolina,118
Chester,Tennessee,18
Chesterfield,South Carolina,159
Chesterfield,Virginia,282
Cheyenne,Colorado,2
Cheyenne,Kansas,2
Cheyenne,Nebraska,8
Chickasaw,Iowa,6
Chickasaw,Mississippi,53
Chicot,Arkansas,74
Childress,Texas,8
Chilton,Alabama,44
Chippewa,Michigan,26
Chippewa,Minnesota,7
Chippewa,Wisconsin,21
Chisago,Minnesota,18
Chittenden,Vermont,72
Choctaw,Alabama,23
Choctaw,Mississippi,4
Choctaw,Oklahoma,73
Chouteau,Montana,6
Chowan,North Carolina,36
Christian,Illinois,5
Christian,Kentucky,146
Christian,Missouri,25
Churchill,Nevada,23
Cibola,New Mexico,29
Cimarron,Oklahoma,9
Citrus,Florida,118
Clackamas,Oregon,262
Claiborne,Louisiana,44
Claiborne,Mississippi,52
Claiborne,Tennessee,46
Clallam,Washington,63
Clare,Michigan,33
Clarendon,South Carolina,124
Clarion,Pennsylvania,37
Clark,Arkansas,31
Clark,Idaho,3
Clark,Illinois,7
Clark,Indiana,96
Clark,Kentucky,35
Clark,Nevada,4511
Clark,Ohio,235
Clark,Washington,274
Clark,Wisconsin,19
Clarke,Alabama,53
Clarke,Georgia,208
Clarke,Iowa,5
Clarke,Mississippi,24
Clarke,Virginia,22
Clatsop,Oregon,36
Clay,Alabama,8
Clay,Arkansas,18
Clay,Florida,146
Clay,Georgia,11
Clay,Illinois,2
Clay,Indiana,24
Clay,Iowa,5
Clay,Kansas,4
Clay,Kentucky,85
Clay,Minnesota,23
Clay,Mississippi,34
Clay,Missouri,64
Clay,Nebraska,2
Clay,North Carolina,11
Clay,South Dakota,6
Clay,Tennessee,5
Clay,Texas,15
Clay,West Virginia,23
Clayton,Georgia,588
Clayton,Iowa,3
Clear Creek,Colorado,16
Clearfield,Pennsylvania,57
Clearwater,Idaho,5
Clearwater,Minnesota,6
Cleburne,Alabama,32
Cleburne,Arkansas,29
Clermont,Ohio,92
Cleveland,Arkansas,11
Cleveland,North Carolina,256
Cleveland,Oklahoma,176
Clifton Forge,Virginia,3
Clinch,Georgia,26
Clinton,Illinois,5
Clinton,Indiana,7
Clinton,Iowa,29
Clinton,Kentucky,8
Clinton,Michigan,36
Clinton,Missouri,12
Clinton,New York,55
Clinton,Ohio,17
Clinton,Pennsylvania,39
Cloud,Kansas,7
Coahoma,Mississippi,116
Coal,Oklahoma,13
Cobb,Georgia,593
Cochise,Arizona,176
Cochran,Texas,3
Cocke,Tennessee,85
Coconino,Arizona,156
Codington,South Dakota,9
Coffee,Alabama,75
Coffee,Georgia,104
Coffee,Tennessee,45
Coffey,Kansas,2
Coke,Texas,4
Colbert,Alabama,73
Cole,Missouri,77
Coleman,Texas,15
Coles,Illinois,12
Colfax,Nebraska,6
Colfax,New Mexico,11
Colleton,South Carolina,161
Collier,Florida,377
Collin,Texas,303
Collingsworth,Texas,3
Colonial Heights,Virginia,21
Colorado,Texas,47
Colquitt,Georgia,138
Columbia,Arkansas,95
Columbia,Florida,118
Columbia,Georgia,70
Columbia,New York,32
Columbia,Oregon,31
Columbia,Pennsylvania,41
Columbia,Washington,5
Columbia,Wisconsin,24
Columbiana,Ohio,34
Columbus,North Carolina,218
Colusa,California,35
Comal,Texas,88
Comanche,Kansas,2
Comanche,Oklahoma,299
Comanche,Texas,18
Concho,Texas,5
Concordia,Louisiana,36
Conecuh,Alabama,21
Conejos,Colorado,12
Contra Costa,California,2569
Converse,Wyoming,16
Conway,Arkansas,49
Cook,Georgia,42
Cook,Illinois,22338
Cook,Minnesota,3
Cooke,Texas,67
Cooper,Missouri,17
Coos,New Hampshire,18
Coos,Oregon,87
Coosa,Alabama,38
Copiah,Mississippi,22
Cortland,New York,15
Coryell,Texas,45
Coshocton,Ohio,21
Costilla,Colorado,2
Cottle,Texas,3
Cotton,Oklahoma,16
Cottonwood,Minnesota,5
Covington,Alabama,50
Covington,Mississippi,30
Covington,Virginia,19
Coweta,Georgia,104
Cowley,Kansas,23
Cowlitz,Washington,108
Craig,Oklahoma,40
Craig,Virginia,8
Craighead,Arkansas,137
Crane,Texas,5
Craven,North Carolina,146
Crawford,Arkansas,54
Crawford,Georgia,7
Crawford,Illinois,3
Crawford,Indiana,12
Crawford,Iowa,7
Crawford,Kansas,47
Crawford,Michigan,10
Crawford,Missouri,26
Crawford,Ohio,26
Crawford,Pennsylvania,66
Crawford,Wisconsin,6
Creek,Oklahoma,121
Crenshaw,Alabama,42
Crisp,Georgia,83
Crittenden,Arkansas,323
Crittenden,Kentucky,4
Crockett,Tennessee,31
Crockett,Texas,11
Crook,Oregon,12
Crook,Wyoming,10
Crosby,Texas,17
Cross,Arkansas,47
Crow Wing,Minnesota,28
Crowley,Colorado,4
Culberson,Texas,15
Cullman,Alabama,51
Culpeper,Virginia,41
Cumberland,Illinois,2
Cumberland,Kentucky,9
Cumberland,Maine,159
Cumberland,New Jersey,289
Cumberland,North Carolina,1138
Cumberland,Pennsylvania,114
Cumberland,Tennessee,55
Cumberland,Virginia,27
Cuming,Nebraska,2
Currituck,North Carolina,24
Curry,New Mexico,88
Curry,Oregon,28
Custer,Colorado,3
Custer,Idaho,7
Custer,Montana,12
Custer,Nebraska,3
Custer,Oklahoma,56
Custer,South Dakota,3
Cuyahoga,Ohio,4823
Dade,Florida,9054
Dade,Georgia,17
Dade,Missouri,6
Daggett,Utah,4
Dakota,Minnesota,94
Dakota,Nebraska,16
Dale,Alabama,76
Dallam,Texas,17
Dallas,Alabama,172
Dallas,Arkansas,31
Dallas,Iowa,12
Dallas,Missouri,14
Dallas,Texas,11148
Dane,Wisconsin,253
Daniels,Montana,1
Danville,Virginia,206
Dare,North Carolina,42
Darke,Ohio,31
Darlington,South Carolina,253
Dauphin,Pennsylvania,546
Davidson,North Carolina,217
Davidson,Tennessee,2889
Davie,North Carolina,43
Daviess,Indiana,20
Daviess,Kentucky,71
Daviess,Missouri,13
Davis,Iowa,5
Davis,Utah,109
Davison,South Dakota,5
Dawes,Nebraska,3
Dawson,Georgia,19
Dawson,Montana,6
Dawson,Nebraska,24
Dawson,Texas,29
Day,South Dakota,3
De Kalb,Alabama,46
De Kalb,Georgia,2162
De Kalb,Indiana,36
De Kalb,Missouri,2
De Soto,Florida,81
De Soto,Louisiana,32
De Witt,Illinois,4
De Witt,Texas,21
DeKalb,Illinois,13
DeKalb,Tennessee,29
DeSoto,Mississippi,75
Deaf Smith,Texas,23
Dearborn,Indiana,16
Decatur,Georgia,71
Decatur,Indiana,30
Decatur,Iowa,3
Decatur,Kansas,2
Decatur,Tennessee,10
Deer Lodge,Montana,12
Defiance,Ohio,15
Del Norte,California,59
Delaware,Indiana,135
Delaware,Iowa,2
Delaware,New York,32
Delaware,Ohio,46
Delaware,Oklahoma,60
Delaware,Pennsylvania,999
Delta,Colorado,24
Delta,Michigan,13
Delta,Texas,9
Dent,Missouri,19
Denton,Texas,290
Denver,Colorado,2365
Des Moines,Iowa,33
Deschutes,Oregon,93
Desha,Arkansas,55
Deuel,Nebraska,2
Deuel,South Dakota,4
Dewey,Oklahoma,5
Dickens,Texas,6
Dickenson,Virginia,54
Dickey,North Dakota,2
Dickinson,Iowa,7
Dickinson,Kansas,11
Dickinson,Michigan,11
Dickson,Tennessee,42
Dillingham,Alaska,11
Dillon,South Carolina,177
Dimmit,Texas,33
Dinwiddie,Virginia,94
District of Columbia,District of Columbia,7115
Divide,North Dakota,1
Dixie,Florida,31
Doddridge,West Virginia,8
Dodge,Georgia,32
Dodge,Minnesota,7
Dodge,Nebraska,12
Dodge,Wisconsin,28
Dona Ana,New Mexico,244
Doniphan,Kansas,3
Donley,Texas,6
Dooly,Georgia,16
Door,Wisconsin,12
Dorchester,Maryland,71
Dorchester,South Carolina,153
Dougherty,Georgia,437
Douglas,Colorado,75
Douglas,Georgia,133
Douglas,Illinois,3
Douglas,Kansas,60
Douglas,Minnesota,14
Douglas,Missouri,16
Douglas,Nebraska,596
Douglas,Nevada,24
Douglas,Oregon,101
Douglas,South Dakota,1
Douglas,Washington,32
Douglas,Wisconsin,32
Drew,Arkansas,49
DuPage,Illinois,105
Dubois,Indiana,16
Dubuque,Iowa,25
Duchesne,Utah,16
Dukes,Massachusetts,4
Dundy,Nebraska,2
Dunklin,Missouri,48
Dunn,North Dakota,2
Dunn,Wisconsin,10
Duplin,North Carolina,183
Durham,North Carolina,904
Dutchess,New York,270
Duval,Florida,3295
Duval,Texas,42
Dyer,Tennessee,63
Eagle,Colorado,20
Early,Georgia,19
East Baton Rouge,Louisiana,2472
East Carroll,Louisiana,36
East Feliciana,Louisiana,32
Eastland,Texas,25
Eaton,Michigan,42
Eau Claire,Wisconsin,42
Echols,Georgia,4
Ector,Texas,424
Eddy,New Mexico,89
Eddy,North Dakota,1
Edgar,Illinois,5
Edgecombe,North Carolina,122
Edgefield,South Carolina,68
Edmonson,Kentucky,9
Edmunds,South Dakota,9
Edwards,Kansas,2
Edwards,Texas,14
Effingham,Georgia,14
Effingham,Illinois,3
El Dorado,California,219
El Paso,Colorado,831
El Paso,Texas,1161
Elbert,Colorado,5
Elbert,Georgia,52
Elk,Kansas,3
Elk,Pennsylvania,33
Elkhart,Indiana,230
Elko,Nevada,76
Elliott,Kentucky,16
Ellis,Kansas,11
Ellis,Oklahoma,2
Ellis,Texas,204
Ellsworth,Kansas,4
Elmore,Alabama,116
Elmore,Idaho,21
Emanuel,Georgia,52
Emery,Utah,10
Emmet,Iowa,4
Emmet,Michigan,10
Emporia,Virginia,27
Erath,Texas,38
Erie,New York,1853
Erie,Ohio,67
Erie,Pennsylvania,273
Escambia,Alabama,68
Escambia,Florida,679
Esmeralda,Nevada,3
Essex,Massachusetts,464
Essex,New Jersey,4812
Essex,New York,22
Essex,Vermont,1
Essex,Virginia,30
Estill,Kentucky,20
Etowah,Alabama,249
Eureka,Nevada,2
Evangeline,Louisiana,53
Evans,Georgia,8
Fairbanks North Star,Alaska,101
Fairfax,Virginia,547
Fairfield,Connecticut,1555
Fairfield,Ohio,34
Fairfield,South Carolina,83
Fall River,South Dakota,5
Fallon,Montana,1
Falls,Texas,45
Falls Church,Virginia,12
Fannin,Georgia,25
Fannin,Texas,48
Faribault,Minnesota,6
Faulk,South Dakota,1
Faulkner,Arkansas,105
Fauquier,Virginia,64
Fayette,Alabama,18
Fayette,Georgia,39
Fayette,Illinois,2
Fayette,Indiana,14
Fayette,Iowa,2
Fayette,Kentucky,552
Fayette,Ohio,18
Fayette,Pennsylvania,201
Fayette,Tennessee,41
Fayette,Texas,25
Fayette,West Virginia,112
Fentress,Tennessee,19
Fergus,Montana,6
Ferry,Washington,17
Fillmore,Minnesota,9
Fillmore,Nebraska,3
Finney,Kansas,56
Fisher,Texas,7
Flagler,Florida,56
Flathead,Montana,46
Fleming,Kentucky,8
Florence,South Carolina,407
Florence,Wisconsin,3
Floyd,Georgia,203
Floyd,Indiana,60
Floyd,Iowa,6
Floyd,Kentucky,62
Floyd,Texas,8
Floyd,Virginia,20
Fluvanna,Virginia,25
Foard,Texas,1
Fond du Lac,Wisconsin,38
Ford,Illinois,2
Ford,Kansas,54
Forest,Pennsylvania,12
Forest,Wisconsin,17
Forrest,Mississippi,191
Forsyth,Georgia,58
Forsyth,North Carolina,813
Fort Bend,Texas,474
Fountain,Indiana,8
Franklin,Alabama,33
Franklin,Arkansas,16
Franklin,Florida,23
Franklin,Georgia,37
Franklin,Idaho,6
Franklin,Illinois,18
Franklin,Indiana,21
Franklin,Iowa,6
Franklin,Kansas,17
Franklin,Kentucky,406
Franklin,Louisiana,38
Franklin,Maine,20
Franklin,Massachusetts,28
Franklin,Mississippi,15
Franklin,Missouri,96
Franklin,Nebraska,2
Franklin,New York,35
Franklin,North Carolina,124
Franklin,Ohio,3456
Franklin,Pennsylvania,112
Franklin,Tennessee,33
Franklin,Texas,17
Franklin,Vermont,14
Franklin,Virginia,91
Franklin,Washington,129
Frederick,Maryland,147
Frederick,Virginia,66
Fredericksburg,Virginia,48
Freeborn,Minnesota,11
Freestone,Texas,39
Fremont,Colorado,44
Fremont,Idaho,6
Fremont,Iowa,4
Fremont,Wyoming,47
Fresno,California,2844
Frio,Texas,34
Fulton,Arkansas,19
Fulton,Georgia,6387
Fulton,Illinois,6
Fulton,Indiana,9
Fulton,Kentucky,15
Fulton,New York,23
Fulton,Ohio,25
Fulton,Pennsylvania,19
Furnas,Nebraska,3
Gadsden,Florida,148
Gage,Nebraska,16
Gaines,Texas,19
Galax,Virginia,21
Gallatin,Illinois,7
Gallatin,Kentucky,8
Gallatin,Montana,20
Gallia,Ohio,37
Galveston,Texas,797
Garden,Nebraska,1
Garfield,Colorado,34
Garfield,Nebraska,1
Garfield,Oklahoma,96
Garfield,Washington,1
Garland,Arkansas,247
Garrard,Kentucky,11
Garrett,Maryland,28
Garvin,Oklahoma,56
Garza,Texas,8
Gasconade,Missouri,3
Gaston,North Carolina,510
Gates,North Carolina,18
Geary,Kansas,59
Geauga,Ohio,28
Gem,Idaho,10
Genesee,Michigan,1875
Genesee,New York,29
Geneva,Alabama,48
Gentry,Missouri,1
George,Mississippi,13
Georgetown,South Carolina,125
Gibson,Indiana,15
Gibson,Tennessee,83
Gila,Arizona,64
Gilchrist,Florida,17
Giles,Tennessee,49
Giles,Virginia,21
Gillespie,Texas,18
Gilmer,Georgia,11
Gilmer,West Virginia,9
Gilpin,Colorado,11
Glacier,Montana,4
Glades,Florida,25
Gladwin,Michigan,16
Glascock,Georgia,2
Glasscock,Texas,2
Glenn,California,36
Gloucester,New Jersey,184
Gloucester,Virginia,37
Glynn,Georgia,201
Gogebic,Michigan,13
Golden Valley,Montana,1
Golden Valley,North Dakota,1
Goliad,Texas,10
Gonzales,Texas,66
Goochland,Virginia,35
Goodhue,Minnesota,18
Gooding,Idaho,12
Gordon,Georgia,52
Goshen,Wyoming,8
Gosper,Nebraska,1
Gove,Kansas,2
Grady,Georgia,41
Grady,Oklahoma,91
Grafton,New Hampshire,42
Graham,Arizona,23
Graham,Kansas,1
Graham,North Carolina,6
Grainger,Tennessee,31
Grand,Colorado,12
Grand,Utah,17
Grand Forks,North Dakota,31
Grand Isle,Vermont,7
Grand Traverse,Michigan,22
Granite,Montana,2
Grant,Arkansas,15
Grant,Indiana,77
Grant,Kansas,4
Grant,Kentucky,18
Grant,Louisiana,42
Grant,Minnesota,2
Grant,New Mexico,37
Grant,Oklahoma,4
Grant,Oregon,20
Grant,Washington,119
Grant,West Virginia,12
Grant,Wisconsin,20
Granville,North Carolina,109
Gratiot,Michigan,14
Graves,Kentucky,37
Gray,Texas,57
Grays Harbor,Washington,107
Grayson,Kentucky,20
Grayson,Texas,199
Grayson,Virginia,28
Greeley,Kansas,1
Green,Kentucky,5
Green,Wisconsin,10
Green Lake,Wisconsin,9
Greenbrier,West Virginia,40
Greene,Alabama,45
Greene,Arkansas,44
Greene,Georgia,24
Greene,Illinois,6
Greene,Indiana,33
Greene,Mississippi,9
Greene,Missouri,305
Greene,New York,42
Greene,North Carolina,49
Greene,Ohio,87
Greene,Pennsylvania,40
Greene,Tennessee,76
Greene,Virginia,33
Greenlee,Arizona,5
Greensville,Virginia,26
Greenup,Kentucky,21
Greenville,South Carolina,1014
Greenwood,Kansas,9
Greenwood,South Carolina,172
Greer,Oklahoma,17
Gregg,Texas,460
Grenada,Mississippi,84
Griggs,North Dakota,2
Grimes,Texas,55
Grundy,Illinois,8
Grundy,Iowa,4
Grundy,Missouri,7
Grundy,Tennessee,24
Guadalupe,New Mexico,12
Guadalupe,Texas,133
Guernsey,Ohio,17
Guilford,North Carolina,1245
Gulf,Florida,14
Gunnison,Colorado,7
Guthrie,Iowa,3
Gwinnett,Georgia,655
Habersham,Georgia,22
Haines,Alaska,1
Hale,Alabama,22
Hale,Texas,54
Halifax,North Carolina,250
Halifax,Virginia,121
Hall,Georgia,191
Hall,Nebraska,41
Hall,Texas,9
Hamblen,Tennessee,90
Hamilton,Florida,23
Hamilton,Indiana,48
Hamilton,Iowa,9
Hamilton,Kansas,4
Hamilton,Nebraska,8
Hamilton,New York,3
Hamilton,Ohio,2101
Hamilton,Tennessee,801
